month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Queens,2,LCL/LTD,Q15,Off-Peak,309868,2977495,9.61
2025-01-01,Queens,2,LCL/LTD,Q15,Peak,142711,1350446,9.46
2025-01-01,Queens,1,LCL/LTD,Q15A,Off-Peak,1539185,15379668,9.99
2025-01-01,Queens,1,LCL/LTD,Q15A,Peak,962127,8703493,9.05
2025-01-01,Queens,2,LCL/LTD,Q15A,Off-Peak,338325,3359750,9.93
2025-01-01,Queens,2,LCL/LTD,Q15A,Peak,145451,1383797,9.51
2025-01-01,Queens,1,LCL/LTD,Q16,Off-Peak,2219826,23738180,10.69
2025-01-01,Queens,1,LCL/LTD,Q16,Peak,1498602,14597554,9.74
2025-01-01,Queens,2,LCL/LTD,Q16,Off-Peak,550703,6122851,11.12
2025-01-01,Queens,2,LCL/LTD,Q16,Peak,224453,2451762,10.92
2025-01-01,Queens,1,LCL/LTD,Q17,Off-Peak,10668901,93897562,8.8
2025-01-01,Queens,1,LCL/LTD,Q17,Peak,6249185,50223636,8.04
2025-01-01,Queens,2,LCL/LTD,Q17,Off-Peak,2849291,26123062,9.17
2025-01-01,Queens,2,LCL/LTD,Q17,Peak,1194747,10939601,9.16
2025-01-01,Queens,1,LCL/LTD,Q18,Off-Peak,4568262,31326995,6.86
2025-01-01,Queens,1,LCL/LTD,Q18,Peak,3069620,19264752,6.28
2025-01-01,Queens,2,LCL/LTD,Q18,Off-Peak,1007513,7508272,7.45
2025-01-01,Queens,2,LCL/LTD,Q18,Peak,412307,2991719,7.26
2025-01-01,Queens,1,LCL/LTD,Q19,Off-Peak,2592885,25100960,9.68
2025-01-01,Queens,1,LCL/LTD,Q19,Peak,1499524,13664405,9.11
2025-01-01,Queens,2,LCL/LTD,Q19,Off-Peak,499918,5017046,10.04
2025-01-01,Queens,2,LCL/LTD,Q19,Peak,229843,2309814,10.05
2025-01-01,Queens,1,LCL/LTD,Q2,Off-Peak,4243924,40017064,9.43
2025-01-01,Queens,1,LCL/LTD,Q2,Peak,2037381,16915025,8.3
2025-01-01,Queens,2,LCL/LTD,Q2,Off-Peak,989892,10040587,10.14
2025-01-01,Queens,2,LCL/LTD,Q2,Peak,377923,3735259,9.88
2025-01-01,Queens,1,LCL/LTD,Q20A,Off-Peak,7114810,55168704,7.75
2025-01-01,Queens,1,LCL/LTD,Q20A,Peak,2823909,19318277,6.84
2025-01-01,Queens,2,LCL/LTD,Q20A,Off-Peak,2816700,22852382,8.11
2025-01-01,Queens,2,LCL/LTD,Q20A,Peak,1084098,8831682,8.15
2025-01-01,Queens,1,LCL/LTD,Q20B,Off-Peak,5748039,43429889,7.56
2025-01-01,Queens,1,LCL/LTD,Q20B,Peak,2930573,20502504,7
2025-01-01,Queens,1,LCL/LTD,Q21,Off-Peak,1922170,21045125,10.95
2025-01-01,Queens,1,LCL/LTD,Q21,Peak,877258,8642257,9.85
