ResponseTimestamp,VehicleRef,Latitude,Longitude,Destination,Origin
2024-04-10T13:18:07.746-04:00,MTA NYCT_9585,40.740252,-73.986227,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:18:07.746-04:00,MTA NYCT_9562,40.797284,-73.946816,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:07.746-04:00,MTA NYCT_9469,40.806348,-73.944215,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:07.746-04:00,MTA NYCT_9467,40.791963,-73.9528,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:07.746-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:07.746-04:00,MTA NYCT_9579,40.8078,-73.939139,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:07.746-04:00,MTA NYCT_9485,40.740103,-73.990625,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:07.746-04:00,MTA NYCT_9487,40.796412,-73.949565,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:07.746-04:00,MTA NYCT_9568,40.776679,-73.963952,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:07.746-04:00,MTA NYCT_9490,40.759923,-73.974081,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:18:07.746-04:00,MTA NYCT_9468,40.773485,-73.964182,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9562,40.800269,-73.944638,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9469,40.806211,-73.944451,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9493,40.786995,-73.954336,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:18:38.413-04:00,MTA NYCT_9566,40.815481,-73.936125,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9564,40.758247,-73.977395,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9585,40.741238,-73.98551,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:18:38.413-04:00,MTA NYCT_9467,40.79191,-73.952839,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9490,40.761101,-73.973212,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:18:38.413-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9485,40.740083,-73.990639,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9487,40.796412,-73.949565,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9568,40.776666,-73.963962,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9476,40.768153,-73.97017,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:18:38.413-04:00,MTA NYCT_9468,40.77355,-73.964134,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9579,40.808578,-73.938565,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:18:38.413-04:00,MTA NYCT_9498,40.75008,-73.981261,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9467,40.791617,-73.953048,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9579,40.81038,-73.937268,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9493,40.787028,-73.954313,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:09.174-04:00,MTA NYCT_9490,40.761412,-73.972987,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:09.174-04:00,MTA NYCT_9485,40.739712,-73.990903,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9562,40.801186,-73.94396,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9462,40.821507,-73.936694,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9476,40.767654,-73.970532,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9487,40.796371,-73.949593,EAST VILLAGE 8 ST via 5 AV,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9468,40.774414,-73.963511,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9568,40.77547,-73.964832,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9564,40.757951,-73.977613,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9498,40.750167,-73.981196,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9469,40.804569,-73.945646,SOHO CENTRE ST via 5 AV/ via BROADWAY,MTA_405284
2024-04-10T13:19:09.174-04:00,MTA NYCT_9566,40.81561,-73.936433,HARLEM 147 ST via MADISON AV,MTA_400080
2024-04-10T13:19:09.174-04:00,MTA NYCT_9585,40.741822,-73.98628,HARLEM 147 ST via MADISON AV,MTA_405527
2024-04-10T13:19:39.937-04:00,MTA NYCT_9486,40.730114,-73.991281,EAST VILLAGE 8 ST via 5 AV,MTA_405284
